
# Surface 0 of 2 surfaces

# Curve title: "f(x,y)"

# Contour 0, label:        0
 451.143  204.516  0 
 452.7  205.193  0 
 457.354  207.217  0 
 461.345  208.953  0 
 462.008  209.241  0 
 466.662  211.265  0 
 471.315  213.289  0 
 471.547  213.39  0 
 475.969  215.313  0 
 480.623  217.337  0 
 481.749  217.827  0 
 485.277  219.361  0 
 489.931  221.385  0 
 491.951  222.264  0 
 494.585  223.409  0 
 499.239  225.433  0 
 502.153  226.701  0 
 503.893  227.457  0 
 508.547  229.481  0 
 512.355  231.138  0 
 513.201  231.505  0 
 517.855  233.529  0 
 522.509  235.554  0 
 522.557  235.575  0 

# Contour 1, label: 
 136.233  67.5577  0 
 140.886  69.5817  0 
 145.082  71.4065  0 
 145.54  71.6058  0 
 150.194  73.6298  0 
 154.848  75.6539  0 
 155.284  75.8435  0 
 159.502  77.6779  0 
 164.156  79.702  0 
 165.486  80.2805  0 
 168.81  81.726  0 
 173.464  83.75  0 
 175.688  84.7174  0 
 178.118  85.7741  0 
 182.772  87.7981  0 
 185.89  89.1544  0 
 187.426  89.8222  0 
 192.08  91.8462  0 
 196.092  93.5914  0 
 196.734  93.8703  0 
 201.388  95.8943  0 
 206.041  97.9184  0 
 206.294  98.0284  0 
 210.695  99.9424  0 
 215.349  101.966  0 
 216.496  102.465  0 
 220.003  103.991  0 
 224.657  106.015  0 
 226.698  106.902  0 
 229.311  108.039  0 
 233.965  110.063  0 
 236.9  111.339  0 
 238.619  112.087  0 
 243.273  114.111  0 
 247.102  115.776  0 
 247.927  116.135  0 
 252.581  118.159  0 
 257.235  120.183  0 
 257.304  120.213  0 
 261.889  122.207  0 
 266.543  124.231  0 
 267.506  124.65  0 
 271.196  126.255  0 
 275.85  128.279  0 
 277.709  129.087  0 
 280.504  130.303  0 
 285.158  132.327  0 
 287.911  133.524  0 
 289.812  134.351  0 
 294.466  136.375  0 
 298.113  137.961  0 
 299.12  138.399  0 
 303.774  140.423  0 
 308.315  142.398  0 
 308.428  142.447  0 
 313.082  144.471  0 
 317.736  146.495  0 
 318.517  146.835  0 
 322.39  148.52  0 
 327.044  150.544  0 
 328.719  151.272  0 
 331.698  152.568  0 
 336.351  154.592  0 
 338.921  155.709  0 
 341.005  156.616  0 
 345.659  158.64  0 
 349.123  160.146  0 
 350.313  160.664  0 
 354.967  162.688  0 
 359.325  164.583  0 
 359.621  164.712  0 
 364.275  166.736  0 
 368.929  168.76  0 
 369.527  169.02  0 
 373.583  170.784  0 
 378.237  172.808  0 
 379.729  173.457  0 
 382.891  174.832  0 
 387.545  176.856  0 
 389.931  177.894  0 
 392.199  178.88  0 
 396.853  180.904  0 
 400.133  182.331  0 
 401.507  182.928  0 
 406.16  184.952  0 
 410.335  186.768  0 
 410.814  186.976  0 
 415.468  189  0 
 420.122  191.024  0 
 420.537  191.205  0 
 424.776  193.049  0 
 429.43  195.073  0 
 430.739  195.642  0 
 434.084  197.097  0 
 438.738  199.121  0 
 440.941  200.079  0 
 443.392  201.145  0 
 448.046  203.169  0 
 451.143  204.516  0 

# Contour 2, label: 
-175.581 -68.0534  0 
